Old_Year_Month,County,Deadliest Indicator,Destructive Indicator,Largest Indicator,Total Indicator,Year,Month,Year_Month
1932_9,Ventura,,,1,1,1932,9,1/09/32
1933_10,Los Angeles,1,,,1,1933,10,1/10/33
1943_10,San Diego,1,,,1,1943,10,1/10/43
1953_7,Glenn,1,,,1,1953,7,1/07/53
1955_9,Los Angeles,1,,,1,1955,9,1/09/55
1956_11,San Diego,1,,,1,1956,11,1/11/56
1959_8,Riverside,1,,,1,1959,8,1/08/59
1966_11,Los Angeles,1,,,1,1966,11,1/11/66
1968_8,Los Angeles,1,,,1,1968,8,1/08/68
1970_9,San Diego,,,1,1,1970,9,1/09/70
1977_7,Monterey,,,1,1,1977,7,1/07/77
1991_10,Alameda,1,1,,2,1991,10,1/10/91
1999_10,Shasta,,1,,1,1999,10,1/10/99
2003_10,San Diego,1,1,1,3,2003,10,1/10/03
2003_10,San Bernardino,1,1,,2,2003,10,1/10/03
2006_9,Ventura,,,1,1,2006,9,1/09/06
2007_7,Santa Barbara,,,1,1,2007,7,1/07/07
2007_10,San Diego,1,1,1,3,2007,10,1/10/07
2008_6,Siskiyou,,,1,1,2008,6,1/06/08
2008_6,Monterey,,,1,1,2008,6,1/06/08
2008_8,Trinity,1,,,1,2008,8,1/08/08
2012_8,Lasson,,,1,1,2012,8,1/08/12
2013_8,Tuolumne,,,1,1,2013,8,1/08/13
2015_9,Lake,,1,,1,2015,9,1/09/15
2015_9,Napa,,1,,1,2015,9,1/09/15
2015_9,Sonoma,,1,,1,2015,9,1/09/15
2015_9,Amador,,1,,1,2015,9,1/09/15
2015_9,Calaveras,,1,,1,2015,9,1/09/15
2017_10,Napa,1,1,,2,2017,10,1/10/17
2017_10,Sonoma,1,1,,2,2017,10,1/10/17
2017_10,Mendocino,1,,,1,2017,10,1/10/17
2017_10,Solano,1,1,,2,2017,10,1/10/17
2017_12,Ventura,,1,1,2,2017,12,1/12/17
2017_12,Santa Barbara,,1,1,2,2017,12,1/12/17
2018_11,Ventura,,1,,1,2018,11,1/11/18
2018_11,Butte,1,1,,2,2018,11,1/11/18
2018_7,Shasta,1,1,1,3,2018,7,1/07/18
2018_7,Trinity,1,1,1,3,2018,7,1/07/18
2018_7,Colusa,,,1,1,2018,7,1/07/18
2018_7,Lake,,,1,1,2018,7,1/07/18
2018_7,Mendocino,,,1,1,2018,7,1/07/18
2018_7,Glenn,,,1,1,2018,7,1/07/18
2020_8,Santa Cruz,,1,,1,2020,8,1/08/20
2020_8,San Mateo,,1,,1,2020,8,1/08/20
2020_8,Butte,1,1,1,3,2020,8,1/08/20
2020_8,Plumas,1,1,1,3,2020,8,1/08/20
2020_8,Yuba,1,1,1,3,2020,8,1/08/20
2020_8,Napa,1,1,1,3,2020,8,1/08/20
2020_8,Solano,1,1,1,3,2020,8,1/08/20
2020_8,Sonoma,1,1,1,3,2020,8,1/08/20
2020_8,Yolo,1,1,1,3,2020,8,1/08/20
2020_8,Lake,1,1,1,3,2020,8,1/08/20
2020_8,Colusa,1,1,1,3,2020,8,1/08/20
2020_8,Mendocino,,1,1,2,2020,8,1/08/20
2020_8,Humboldt,,1,1,2,2020,8,1/08/20
2020_8,Trinity,,1,1,2,2020,8,1/08/20
2020_8,Tehama,,1,1,2,2020,8,1/08/20
2020_8,Glenn,,1,1,2,2020,8,1/08/20
2020_8,Stanislaus,,,1,1,2020,8,1/08/20
2020_8,Santa Clara,,,1,1,2020,8,1/08/20
2020_8,Alameda,,,1,1,2020,8,1/08/20
2020_8,Contra Costa,,,1,1,2020,8,1/08/20
2020_8,San Joaquin,,,1,1,2020,8,1/08/20
2020_8,Tulare,,,1,1,2020,8,1/08/20
2020_9,Napa,,1,,1,2020,9,1/09/20
2020_9,Sonoma,,1,,1,2020,9,1/09/20
2020_9,Fresno,,1,1,2,2020,9,1/09/20
2020_9,Madera,,1,1,2,2020,9,1/09/20
