Gender,COUNTY_CODE,Five-Year Age Groups Code,Year_Month,Deaths,ID,
M,1,1,1/07/99,10,1_M_1,
M,1,1,1/11/99,10,1_M_1,
F,37,1,1/01/99,29,37_F_1,
F,37,1,1/02/99,39,37_F_1,
F,37,1,1/03/99,36,37_F_1,
F,37,1,1/04/99,27,37_F_1,
F,37,1,1/05/99,28,37_F_1,
F,37,1,1/06/99,32,37_F_1,
F,37,1,1/07/99,32,37_F_1,
F,37,1,1/08/99,25,37_F_1,
F,37,1,1/09/99,35,37_F_1,
F,37,1,1/10/99,35,37_F_1,
F,37,1,1/11/99,30,37_F_1,
F,37,1,1/12/99,28,37_F_1,
M,37,1,1/01/99,38,37_M_1,
M,37,1,1/02/99,46,37_M_1,
M,37,1,1/03/99,27,37_M_1,
M,37,1,1/04/99,34,37_M_1,
M,37,1,1/05/99,38,37_M_1,
M,37,1,1/06/99,29,37_M_1,
M,37,1,1/07/99,46,37_M_1,
M,37,1,1/08/99,42,37_M_1,
M,37,1,1/09/99,35,37_M_1,
M,37,1,1/10/99,43,37_M_1,
M,37,1,1/11/99,40,37_M_1,
M,37,1,1/12/99,48,37_M_1,
F,59,1,1/01/99,10,59_F_1,
F,59,1,1/06/99,14,59_F_1,
F,59,1,1/10/99,10,59_F_1,
F,59,1,1/12/99,11,59_F_1,
M,59,1,1/02/99,10,59_M_1,
M,59,1,1/06/99,11,59_M_1,
M,59,1,1/07/99,14,59_M_1,
M,59,1,1/10/99,17,59_M_1,
M,59,1,1/12/99,13,59_M_1,
M,65,1,1/04/99,10,65_M_1,
M,65,1,1/08/99,13,65_M_1,
M,65,1,1/12/99,16,65_M_1,
M,67,1,1/02/99,10,67_M_1,
F,71,1,1/01/99,11,71_F_1,
F,71,1,1/08/99,12,71_F_1,
F,71,1,1/10/99,10,71_F_1,
F,71,1,1/12/99,10,71_F_1,
M,71,1,1/03/99,13,71_M_1,
M,71,1,1/04/99,11,71_M_1,
M,71,1,1/05/99,15,71_M_1,
M,71,1,1/08/99,13,71_M_1,
M,71,1,1/11/99,12,71_M_1,
F,73,1,1/02/99,11,73_F_1,
F,73,1,1/04/99,14,73_F_1,
F,73,1,1/05/99,12,73_F_1,
F,73,1,1/07/99,17,73_F_1,
M,73,1,1/01/99,12,73_M_1,
M,73,1,1/04/99,12,73_M_1,
M,73,1,1/06/99,10,73_M_1,
M,73,1,1/07/99,12,73_M_1,
M,73,1,1/08/99,13,73_M_1,
M,73,1,1/11/99,13,73_M_1,
F,85,1,1/04/99,10,85_F_1,
M,85,1,1/03/99,13,85_M_1,
F,37,1-4,1/02/99,10,37_F_1-4,1-4
F,37,1-4,1/10/99,11,37_F_1-4,
F,37,1-4,1/12/99,11,37_F_1-4,
M,37,1-4,1/01/99,10,37_M_1-4,
M,37,1-4,1/08/99,10,37_M_1-4,
M,37,1-4,1/10/99,10,37_M_1-4,
M,37,10-14,1/12/99,11,37_M_10-14,10-14
F,37,15-19,1/01/99,13,37_F_15-19,
F,37,15-19,1/06/99,10,37_F_15-19,
F,37,15-19,1/12/99,10,37_F_15-19,
M,37,15-19,1/01/99,29,37_M_15-19,
M,37,15-19,1/02/99,22,37_M_15-19,
M,37,15-19,1/03/99,27,37_M_15-19,
M,37,15-19,1/04/99,24,37_M_15-19,
M,37,15-19,1/05/99,32,37_M_15-19,
M,37,15-19,1/06/99,23,37_M_15-19,
M,37,15-19,1/07/99,31,37_M_15-19,
M,37,15-19,1/08/99,35,37_M_15-19,
M,37,15-19,1/09/99,27,37_M_15-19,
M,37,15-19,1/10/99,20,37_M_15-19,
M,37,15-19,1/11/99,25,37_M_15-19,
M,37,15-19,1/12/99,22,37_M_15-19,
M,59,15-19,1/08/99,10,59_M_15-19,
M,71,15-19,1/01/99,13,71_M_15-19,
F,37,20-24,1/01/99,13,37_F_20-24,
F,37,20-24,1/02/99,10,37_F_20-24,
F,37,20-24,1/03/99,12,37_F_20-24,
F,37,20-24,1/08/99,12,37_F_20-24,
