Gender,COUNTY_CODE,Five-Year Age Groups Code,Forward Year_Month,Lagged Deaths
M,1,1,1/08/99,10
M,1,1,1/12/99,10
F,37,1,1/02/99,29
F,37,1,1/03/99,39
F,37,1,1/04/99,36
F,37,1,1/05/99,27
F,37,1,1/06/99,28
F,37,1,1/07/99,32
F,37,1,1/08/99,32
F,37,1,1/09/99,25
F,37,1,1/10/99,35
F,37,1,1/11/99,35
F,37,1,1/12/99,30
F,37,1,1/01/00,28
M,37,1,1/02/99,38
M,37,1,1/03/99,46
M,37,1,1/04/99,27
M,37,1,1/05/99,34
M,37,1,1/06/99,38
M,37,1,1/07/99,29
M,37,1,1/08/99,46
M,37,1,1/09/99,42
M,37,1,1/10/99,35
M,37,1,1/11/99,43
M,37,1,1/12/99,40
M,37,1,1/01/00,48
F,59,1,1/02/99,10
F,59,1,1/07/99,14
F,59,1,1/11/99,10
F,59,1,1/01/00,11
M,59,1,1/03/99,10
M,59,1,1/07/99,11
M,59,1,1/08/99,14
M,59,1,1/11/99,17
M,59,1,1/01/00,13
M,65,1,1/05/99,10
M,65,1,1/09/99,13
M,65,1,1/01/00,16
M,67,1,1/03/99,10
F,71,1,1/02/99,11
F,71,1,1/09/99,12
F,71,1,1/11/99,10
F,71,1,1/01/00,10
M,71,1,1/04/99,13
M,71,1,1/05/99,11
M,71,1,1/06/99,15
M,71,1,1/09/99,13
M,71,1,1/12/99,12
F,73,1,1/03/99,11
F,73,1,1/05/99,14
F,73,1,1/06/99,12
F,73,1,1/08/99,17
M,73,1,1/02/99,12
M,73,1,1/05/99,12
M,73,1,1/07/99,10
M,73,1,1/08/99,12
M,73,1,1/09/99,13
M,73,1,1/12/99,13
F,85,1,1/05/99,10
M,85,1,1/04/99,13
F,37,1-4,1/03/99,10
F,37,1-4,1/11/99,11
F,37,1-4,1/01/00,11
M,37,1-4,1/02/99,10
M,37,1-4,1/09/99,10
M,37,1-4,1/11/99,10
M,37,10-14,1/01/00,11
F,37,15-19,1/02/99,13
F,37,15-19,1/07/99,10
F,37,15-19,1/01/00,10
M,37,15-19,1/02/99,29
M,37,15-19,1/03/99,22
M,37,15-19,1/04/99,27
M,37,15-19,1/05/99,24
M,37,15-19,1/06/99,32
M,37,15-19,1/07/99,23
M,37,15-19,1/08/99,31
M,37,15-19,1/09/99,35
M,37,15-19,1/10/99,27
M,37,15-19,1/11/99,20
M,37,15-19,1/12/99,25
M,37,15-19,1/01/00,22
M,59,15-19,1/09/99,10
M,71,15-19,1/02/99,13
F,37,20-24,1/02/99,13
F,37,20-24,1/03/99,10
F,37,20-24,1/04/99,12
F,37,20-24,1/09/99,12
F,37,20-24,1/01/00,13
M,37,20-24,1/02/99,43
M,37,20-24,1/03/99,20
M,37,20-24,1/04/99,34
M,37,20-24,1/05/99,45
M,37,20-24,1/06/99,40
M,37,20-24,1/07/99,39
M,37,20-24,1/08/99,35
M,37,20-24,1/09/99,37
M,37,20-24,1/10/99,38
M,37,20-24,1/11/99,45
M,37,20-24,1/12/99,35
M,37,20-24,1/01/00,35
M,59,20-24,1/03/99,10
M,59,20-24,1/05/99,11
M,59,20-24,1/06/99,11
M,59,20-24,1/09/99,12
M,59,20-24,1/11/99,11
M,71,20-24,1/06/99,10
M,73,20-24,1/02/99,15
M,73,20-24,1/06/99,12
M,73,20-24,1/08/99,14
M,73,20-24,1/09/99,12
M,73,20-24,1/10/99,10
M,73,20-24,1/01/00,13
M,1,25-29,1/06/99,10
F,37,25-29,1/03/99,12
F,37,25-29,1/04/99,18
F,37,25-29,1/05/99,12
F,37,25-29,1/06/99,10
F,37,25-29,1/07/99,10
F,37,25-29,1/08/99,10
F,37,25-29,1/10/99,15
F,37,25-29,1/11/99,15
F,37,25-29,1/12/99,22
F,37,25-29,1/01/00,14
M,37,25-29,1/02/99,37
M,37,25-29,1/03/99,35
M,37,25-29,1/04/99,29
M,37,25-29,1/05/99,30
M,37,25-29,1/06/99,43
M,37,25-29,1/07/99,34
M,37,25-29,1/08/99,44
M,37,25-29,1/09/99,30
M,37,25-29,1/10/99,42
M,37,25-29,1/11/99,34
M,37,25-29,1/12/99,48
M,37,25-29,1/01/00,34
M,59,25-29,1/07/99,10
M,59,25-29,1/10/99,10
M,59,25-29,1/01/00,12
M,65,25-29,1/02/99,12
M,71,25-29,1/01/00,10
M,73,25-29,1/04/99,14
M,73,25-29,1/01/00,10
M,1,30-34,1/03/99,11
M,1,30-34,1/11/99,10
F,37,30-34,1/02/99,19
F,37,30-34,1/03/99,11
F,37,30-34,1/04/99,21
F,37,30-34,1/05/99,24
F,37,30-34,1/06/99,16
F,37,30-34,1/07/99,15
F,37,30-34,1/08/99,15
F,37,30-34,1/09/99,22
F,37,30-34,1/10/99,18
F,37,30-34,1/11/99,22
F,37,30-34,1/12/99,23
F,37,30-34,1/01/00,16
M,37,30-34,1/02/99,46
M,37,30-34,1/03/99,47
M,37,30-34,1/04/99,37
M,37,30-34,1/05/99,41
M,37,30-34,1/06/99,37
M,37,30-34,1/07/99,38
M,37,30-34,1/08/99,44
M,37,30-34,1/09/99,51
M,37,30-34,1/10/99,44
M,37,30-34,1/11/99,48
M,37,30-34,1/12/99,42
M,37,30-34,1/01/00,55
M,59,30-34,1/02/99,15
M,59,30-34,1/03/99,12
M,59,30-34,1/05/99,12
M,59,30-34,1/06/99,14
M,59,30-34,1/08/99,11
M,59,30-34,1/09/99,12
M,59,30-34,1/12/99,10
M,59,30-34,1/01/00,12
M,65,30-34,1/08/99,11
M,65,30-34,1/01/00,10
M,67,30-34,1/01/00,11
M,71,30-34,1/09/99,10
M,73,30-34,1/02/99,16
M,73,30-34,1/03/99,13
M,73,30-34,1/04/99,12
M,73,30-34,1/06/99,17
M,73,30-34,1/07/99,13
M,73,30-34,1/08/99,10
M,73,30-34,1/11/99,10
M,73,30-34,1/12/99,15
M,73,30-34,1/01/00,13
M,75,30-34,1/02/99,12
M,75,30-34,1/09/99,12
M,1,35-39,1/11/99,10
M,13,35-39,1/08/99,10
F,37,35-39,1/02/99,32
F,37,35-39,1/03/99,21
F,37,35-39,1/04/99,22
F,37,35-39,1/05/99,43
F,37,35-39,1/06/99,30
F,37,35-39,1/07/99,26
F,37,35-39,1/08/99,38
F,37,35-39,1/09/99,26
F,37,35-39,1/10/99,30
F,37,35-39,1/11/99,29
F,37,35-39,1/12/99,28
F,37,35-39,1/01/00,32
M,37,35-39,1/02/99,86
M,37,35-39,1/03/99,62
M,37,35-39,1/04/99,52
M,37,35-39,1/05/99,67
M,37,35-39,1/06/99,59
M,37,35-39,1/07/99,71
M,37,35-39,1/08/99,55
M,37,35-39,1/09/99,58
M,37,35-39,1/10/99,49
M,37,35-39,1/11/99,64
M,37,35-39,1/12/99,63
M,37,35-39,1/01/00,84
F,59,35-39,1/10/99,10
M,59,35-39,1/04/99,11
M,59,35-39,1/05/99,11
M,59,35-39,1/06/99,17
M,59,35-39,1/07/99,16
M,59,35-39,1/08/99,12
M,59,35-39,1/09/99,13
M,59,35-39,1/10/99,12
M,59,35-39,1/11/99,13
M,59,35-39,1/12/99,14
M,59,35-39,1/01/00,11
F,65,35-39,1/04/99,10
M,65,35-39,1/02/99,12
M,65,35-39,1/06/99,15
M,65,35-39,1/07/99,14
M,65,35-39,1/09/99,13
M,65,35-39,1/10/99,11
M,65,35-39,1/12/99,13
M,65,35-39,1/01/00,12
M,67,35-39,1/02/99,12
M,67,35-39,1/06/99,11
M,67,35-39,1/09/99,10
M,67,35-39,1/10/99,11
M,67,35-39,1/11/99,14
F,71,35-39,1/07/99,11
F,71,35-39,1/08/99,12
M,71,35-39,1/02/99,20
M,71,35-39,1/03/99,15
M,71,35-39,1/04/99,12
M,71,35-39,1/06/99,11
M,71,35-39,1/09/99,12
M,71,35-39,1/10/99,11
M,71,35-39,1/11/99,12
M,71,35-39,1/12/99,18
F,73,35-39,1/03/99,10
F,73,35-39,1/11/99,10
F,73,35-39,1/12/99,10
M,73,35-39,1/02/99,16
M,73,35-39,1/03/99,21
M,73,35-39,1/04/99,19
M,73,35-39,1/05/99,14
M,73,35-39,1/06/99,21
M,73,35-39,1/07/99,17
M,73,35-39,1/08/99,17
M,73,35-39,1/09/99,32
M,73,35-39,1/10/99,15
M,73,35-39,1/11/99,17
M,73,35-39,1/12/99,19
M,73,35-39,1/01/00,28
M,75,35-39,1/05/99,12
M,75,35-39,1/07/99,10
M,75,35-39,1/09/99,11
M,75,35-39,1/10/99,10
F,85,35-39,1/06/99,11
M,85,35-39,1/06/99,10
M,85,35-39,1/07/99,12
M,85,35-39,1/10/99,12
M,85,35-39,1/01/00,10
F,1,40-44,1/02/99,10
F,1,40-44,1/05/99,13
F,1,40-44,1/06/99,10
F,1,40-44,1/07/99,11
F,1,40-44,1/09/99,14
F,1,40-44,1/10/99,12
M,1,40-44,1/02/99,13
M,1,40-44,1/03/99,17
M,1,40-44,1/04/99,10
M,1,40-44,1/05/99,23
M,1,40-44,1/06/99,12
M,1,40-44,1/07/99,15
M,1,40-44,1/08/99,15
M,1,40-44,1/09/99,14
M,1,40-44,1/10/99,14
M,1,40-44,1/12/99,19
M,1,40-44,1/01/00,15
M,13,40-44,1/10/99,11
M,13,40-44,1/01/00,13
F,19,40-44,1/06/99,10
M,29,40-44,1/03/99,10
M,29,40-44,1/10/99,11
F,37,40-44,1/02/99,53
F,37,40-44,1/03/99,46
F,37,40-44,1/04/99,47
F,37,40-44,1/05/99,49
F,37,40-44,1/06/99,50
F,37,40-44,1/07/99,42
F,37,40-44,1/08/99,39
F,37,40-44,1/09/99,45
F,37,40-44,1/10/99,44
F,37,40-44,1/11/99,46
F,37,40-44,1/12/99,45
F,37,40-44,1/01/00,51
M,37,40-44,1/02/99,101
M,37,40-44,1/03/99,90
M,37,40-44,1/04/99,88
M,37,40-44,1/05/99,86
M,37,40-44,1/06/99,70
M,37,40-44,1/07/99,73
M,37,40-44,1/08/99,72
M,37,40-44,1/09/99,74
M,37,40-44,1/10/99,77
M,37,40-44,1/11/99,74
M,37,40-44,1/12/99,92
M,37,40-44,1/01/00,87
F,59,40-44,1/04/99,14
F,59,40-44,1/06/99,12
F,59,40-44,1/09/99,10
F,59,40-44,1/11/99,14
F,59,40-44,1/12/99,11
F,59,40-44,1/01/00,14
M,59,40-44,1/02/99,21
M,59,40-44,1/03/99,13
M,59,40-44,1/04/99,18
M,59,40-44,1/05/99,15
M,59,40-44,1/06/99,21
M,59,40-44,1/07/99,16
M,59,40-44,1/08/99,27
M,59,40-44,1/09/99,19
M,59,40-44,1/10/99,13
M,59,40-44,1/11/99,22
M,59,40-44,1/12/99,24
M,59,40-44,1/01/00,18
F,65,40-44,1/04/99,11
F,65,40-44,1/08/99,14
M,65,40-44,1/02/99,14
M,65,40-44,1/03/99,18
M,65,40-44,1/04/99,18
M,65,40-44,1/05/99,12
M,65,40-44,1/06/99,13
M,65,40-44,1/07/99,13
M,65,40-44,1/08/99,11
M,65,40-44,1/09/99,16
M,65,40-44,1/10/99,16
M,65,40-44,1/11/99,17
M,65,40-44,1/12/99,15
M,65,40-44,1/01/00,10
F,67,40-44,1/02/99,12
F,67,40-44,1/01/00,10
M,67,40-44,1/02/99,10
M,67,40-44,1/03/99,11
M,67,40-44,1/04/99,13
M,67,40-44,1/06/99,16
M,67,40-44,1/09/99,10
M,67,40-44,1/10/99,10
M,67,40-44,1/11/99,21
M,67,40-44,1/12/99,17
M,67,40-44,1/01/00,14
F,71,40-44,1/03/99,12
F,71,40-44,1/04/99,12
F,71,40-44,1/05/99,13
M,71,40-44,1/02/99,18
M,71,40-44,1/04/99,22
M,71,40-44,1/05/99,10
M,71,40-44,1/06/99,15
M,71,40-44,1/07/99,19
M,71,40-44,1/08/99,11
M,71,40-44,1/09/99,18
M,71,40-44,1/10/99,16
M,71,40-44,1/11/99,18
M,71,40-44,1/12/99,10
M,71,40-44,1/01/00,15
F,73,40-44,1/02/99,13
F,73,40-44,1/04/99,14
