SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPEST_MALE,POPEST_FEM,AGE04_MALE,AGE04_FEM,AGE59_MALE,AGE59_FEM,AGE1014_MALE,AGE1014_FEM,AGE1519_MALE,AGE1519_FEM,AGE2024_MALE,AGE2024_FEM,AGE2529_MALE,AGE2529_FEM,AGE3034_MALE,AGE3034_FEM,AGE3539_MALE,AGE3539_FEM,AGE4044_MALE,AGE4044_FEM,AGE4549_MALE,AGE4549_FEM,AGE5054_MALE,AGE5054_FEM,AGE5559_MALE,AGE5559_FEM,AGE6064_MALE,AGE6064_FEM,AGE6569_MALE,AGE6569_FEM,AGE7074_MALE,AGE7074_FEM,AGE7579_MALE,AGE7579_FEM,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_MALE,AGE85PLUS_FEM
50,6,1,California,Alameda County,4,750107,780808,50116,47660,48566,46525,46527,44569,49771,47569,55355,54631,57103,57732,57516,59620,56325,57587,57012,57457,55779,57187,54271,56116,47351,50494,39559,44077,26288,29806,17701,21626,12916,16898,9240,13970,8711,17284
50,6,1,California,Alameda County,5,760739,793025,49848,47652,49457,47259,46635,44683,49064,47304,55705,55008,58197,58893,59370,61640,56602,58266,57919,58523,55318,56420,54796,56762,48690,51781,40116,44702,28941,32803,18477,22528,13150,17240,9362,13909,9092,17652
50,6,1,California,Alameda County,6,773696,805897,49794,47549,50400,47844,47100,45172,48356,47127,55288,54933,60640,60831,61857,63947,57633,58997,58206,59247,55141,55652,55259,57480,50169,52905,40839,45783,30775,35068,19752,23674,13585,17732,9532,13921,9370,18035
50,6,1,California,Alameda County,7,787690,820102,49975,47809,50619,48115,47593,46044,47746,46789,54624,54157,63949,64002,64057,66220,59415,60165,58393,59670,55198,55372,55825,58130,51191,53847,42025,46738,32568,37272,20899,24895,14230,18288,9728,14136,9655,18453
50,6,1,California,Alameda County,8,801625,832913,50230,47974,50663,48520,48080,46276,47469,46727,53252,52618,67079,67091,66453,67836,61889,62254,58248,59417,56121,56432,55575,57521,52093,54717,43418,47717,34273,39461,22010,26354,14820,18855,10016,14284,9936,18859
50,6,1,California,Alameda County,9,810926,840024,50145,47569,50272,48215,48277,46295,47440,46588,51822,51263,69130,69008,68556,69019,63676,64022,58025,58899,56920,57115,54936,56414,52387,55071,44676,48441,35504,41283,23232,27660,15277,19440,10358,14559,10293,19163
50,6,1,California,Alameda County,10,816390,843806,49956,47461,49523,47504,48797,46626,47363,46335,50638,50387,69664,68892,69745,69416,65371,65675,58117,58922,57186,57482,53975,54978,52451,55018,45562,49011,35709,41552,25227,30120,15955,20246,10601,14768,10550,19413
50,6,1,California,Alameda County,11,820231,846525,49150,47050,48853,46794,48995,46542,47471,46392,49325,49591,69023,67972,71139,70422,67299,66907,58384,59000,57104,57657,53273,53616,52317,54966,46368,49584,36193,42068,26656,31830,16867,21272,10964,15135,10850,19727
50,6,1,California,Alameda County,12,823247,848082,48564,46164,48552,46437,48747,46269,47648,46967,48154,48541,67872,66425,73361,71962,68596,68335,59119,58999,56330,56979,52649,52874,52094,54669,46583,49676,36889,42547,27877,33451,17700,22227,11364,15499,11148,20061
50,6,3,California,Alpine County,4,566,527,22,27,38,32,26,33,23,29,26,17,26,25,20,22,28,19,39,36,48,43,55,51,68,53,58,62,35,30,19,17,20,16,14,12,1,3
50,6,3,California,Alpine County,5,583,527,26,21,44,42,34,38,27,27,24,21,28,24,22,19,34,21,31,38,47,38,52,45,69,47,50,56,41,36,17,18,23,20,11,10,3,6
50,6,3,California,Alpine County,6,590,538,22,17,36,44,45,35,33,33,30,21,28,27,21,17,25,21,36,32,33,42,61,41,63,48,52,56,44,46,21,17,23,22,14,11,3,8
50,6,3,California,Alpine County,7,552,528,16,18,30,42,41,31,33,35,29,18,29,19,22,20,19,28,38,29,30,38,56,40,49,49,54,52,48,49,23,23,17,19,15,8,3,10
50,6,3,California,Alpine County,8,563,514,17,22,30,32,40,28,31,32,34,20,37,23,16,20,20,22,30,28,40,36,53,44,47,45,60,46,44,52,28,27,14,18,17,7,5,12
50,6,3,California,Alpine County,9,554,493,21,13,22,34,37,25,28,32,31,23,33,23,20,22,14,17,25,18,47,41,47,35,51,49,60,41,53,55,26,29,14,12,17,11,8,13
50,6,3,California,Alpine County,10,606,505,28,12,25,27,43,30,34,34,40,22,36,28,27,23,22,18,25,25,39,33,42,36,61,50,56,41,56,52,33,34,14,15,16,12,9,13
50,6,3,California,Alpine County,11,582,507,26,18,18,18,35,32,37,31,34,26,34,20,29,22,22,13,18,28,35,27,29,40,69,46,59,45,58,57,34,40,19,16,14,12,12,16
50,6,3,California,Alpine County,12,609,520,27,22,17,24,38,26,42,31,34,37,42,20,28,25,25,18,25,23,28,34,25,36,63,27,58,56,68,50,42,42,20,23,13,11,14,15
50,6,5,California,Amador County,4,20304,17239,684,692,800,811,873,905,1216,919,983,675,1040,728,1179,713,1199,737,1497,902,1732,1162,1739,1428,1722,1642,1733,1729,1342,1350,984,976,660,698,491,573,430,599
50,6,5,California,Amador County,5,19955,17149,679,688,761,798,852,859,1003,873,943,727,1067,683,1182,738,1173,732,1434,859,1659,1057,1728,1421,1697,1603,1657,1674,1478,1506,1013,1041,705,718,464,552,460,620
50,6,5,California,Amador County,6,19476,17144,734,622,743,778,844,845,930,843,932,775,1016,687,1113,760,1129,691,1319,860,1497,992,1639,1419,1622,1570,1647,1739,1564,1555,1056,1074,766,746,455,538,470,650
50,6,5,California,Amador County,7,19512,17214,760,654,728,775,831,825,893,814,951,797,1037,684,1119,801,1156,694,1282,822,1423,953,1634,1368,1574,1519,1669,1752,1587,1650,1118,1125,783,798,484,520,483,663
50,6,5,California,Amador County,8,19665,17366,812,667,730,757,844,821,881,833,915,748,1103,762,1114,804,1181,716,1265,792,1438,934,1605,1297,1544,1544,1655,1722,1641,1757,1187,1197,806,838,471,521,473,656
50,6,5,California,Amador County,9,19839,17590,826,742,778,771,859,813,861,809,901,721,1124,806,1141,830,1241,792,1261,761,1398,946,1556,1246,1566,1545,1620,1682,1702,1840,1234,1255,829,835,477,552,465,644
50,6,5,California,Amador County,10,20744,17785,823,772,817,735,824,823,882,804,941,705,1222,828,1256,826,1367,832,1384,779,1508,949,1608,1195,1603,1546,1643,1659,1673,1809,1370,1452,845,882,524,567,454,622
50,6,5,California,Amador County,11,21435,17970,822,807,876,714,827,862,882,786,914,680,1295,879,1320,817,1480,893,1516,755,1558,946,1577,1158,1657,1492,1648,1667,1680,1817,1453,1527,900,961,572,598,458,611
50,6,5,California,Amador County,12,21638,18114,814,798,921,751,829,866,893,759,888,680,1271,882,1366,856,1455,903,1560,797,1564,895,1507,1088,1661,1506,1667,1630,1665,1792,1532,1653,957,1017,595,636,493,605
50,6,7,California,Butte County,4,108974,111001,6322,5962,6247,6196,6533,6182,8363,8016,13004,11802,7387,6831,6446,5964,5637,5446,6000,5865,6388,6721,7210,7523,7345,7867,6970,7397,4838,5306,3526,4071,2703,3242,2033,2866,2022,3744
50,6,7,California,Butte County,5,109419,111450,6223,5903,6324,6260,6543,6057,8181,7975,13600,12491,7089,6516,6615,6069,5644,5434,5959,5814,6176,6447,7048,7360,7340,7845,6875,7395,5373,5837,3655,4186,2683,3326,2048,2758,2043,3777
