STATE,COUNTY,STNAME,COUNTY_NAME,YEAR,AGEGRP,POPULATION,GENDER
6,1,California,Alameda,1,0,9911,M
6,1,California,Alameda,1,1,40384,M
6,1,California,Alameda,1,2,53646,M
6,1,California,Alameda,1,3,49444,M
6,1,California,Alameda,1,4,47460,M
6,1,California,Alameda,1,5,51072,M
6,1,California,Alameda,1,6,58757,M
6,1,California,Alameda,1,7,62621,M
6,1,California,Alameda,1,8,64105,M
6,1,California,Alameda,1,9,59996,M
6,1,California,Alameda,1,10,51869,M
6,1,California,Alameda,1,11,45546,M
6,1,California,Alameda,1,12,31609,M
6,1,California,Alameda,1,13,22637,M
6,1,California,Alameda,1,14,18011,M
6,1,California,Alameda,1,15,15523,M
6,1,California,Alameda,1,16,13014,M
6,1,California,Alameda,1,17,7958,M
6,1,California,Alameda,1,18,5720,M
6,1,California,Alameda,1,99,709283,M
6,1,California,Alameda,2,0,10091,M
6,1,California,Alameda,2,1,40310,M
6,1,California,Alameda,2,2,53450,M
6,1,California,Alameda,2,3,49780,M
6,1,California,Alameda,2,4,47768,M
6,1,California,Alameda,2,5,51837,M
6,1,California,Alameda,2,6,58740,M
6,1,California,Alameda,2,7,62877,M
6,1,California,Alameda,2,8,64142,M
6,1,California,Alameda,2,9,60289,M
6,1,California,Alameda,2,10,52215,M
6,1,California,Alameda,2,11,46090,M
6,1,California,Alameda,2,12,31829,M
6,1,California,Alameda,2,13,22798,M
6,1,California,Alameda,2,14,17997,M
6,1,California,Alameda,2,15,15550,M
6,1,California,Alameda,2,16,13049,M
6,1,California,Alameda,2,17,8016,M
6,1,California,Alameda,2,18,5742,M
6,1,California,Alameda,2,99,712570,M
6,1,California,Alameda,3,0,11391,M
6,1,California,Alameda,3,1,39914,M
6,1,California,Alameda,3,2,52049,M
6,1,California,Alameda,3,3,50856,M
6,1,California,Alameda,3,4,47278,M
6,1,California,Alameda,3,5,54393,M
6,1,California,Alameda,3,6,59432,M
6,1,California,Alameda,3,7,64706,M
6,1,California,Alameda,3,8,64263,M
6,1,California,Alameda,3,9,60747,M
6,1,California,Alameda,3,10,53930,M
