Year_Month,T10,T90
1/01/61,5.08,9.31
1/02/61,3.00,10.28
1/03/61,4.98,6.49
1/04/61,9.72,11.42
1/05/61,6.50,6.19
1/06/61,4.10,17.87
1/07/61,8.90,11.09
1/08/61,5.75,10.08
1/09/61,17.65,3.52
1/10/61,14.24,9.05
1/11/61,17.42,5.91
1/12/61,12.46,6.55
1/01/62,19.19,9.16
1/02/62,15.81,16.33
1/03/62,20.05,2.23
1/04/62,2.75,17.71
1/05/62,15.23,12.77
1/06/62,11.21,2.90
1/07/62,12.77,2.56
1/08/62,11.37,15.10
1/09/62,8.76,13.07
1/10/62,4.94,9.89
1/11/62,3.40,14.38
1/12/62,5.31,16.31
1/01/63,24.66,6.61
1/02/63,4.12,25.93
1/03/63,7.37,6.28
1/04/63,13.86,8.29
1/05/63,4.25,12.91
1/06/63,13.27,4.74
1/07/63,7.15,10.91
1/08/63,8.97,6.07
1/09/63,2.31,16.32
1/10/63,1.60,17.65
1/11/63,3.91,7.83
1/12/63,10.50,6.29
1/01/64,12.26,5.72
1/02/64,20.12,2.28
1/03/64,21.31,3.12
1/04/64,11.49,4.54
1/05/64,14.34,10.63
1/06/64,13.20,3.70
1/07/64,5.37,11.00
1/08/64,11.69,7.81
1/09/64,11.26,5.60
1/10/64,3.64,13.39
1/11/64,17.87,6.07
1/12/64,9.34,15.11
1/01/65,3.28,12.18
1/02/65,14.61,7.23
1/03/65,16.87,2.50
1/04/65,12.57,12.21
1/05/65,14.74,4.96
1/06/65,21.22,1.76
1/07/65,10.31,3.66
1/08/65,8.40,5.29
1/09/65,21.06,2.68
1/10/65,4.79,15.40
1/11/65,2.03,15.47
1/12/65,7.74,12.67
1/01/66,14.45,4.58
1/02/66,18.44,1.85
1/03/66,9.71,12.11
1/04/66,6.23,11.50
1/05/66,4.29,14.86
1/06/66,6.92,6.54
1/07/66,7.22,10.08
1/08/66,8.21,8.25
1/09/66,7.48,10.80
1/10/66,9.87,6.51
1/11/66,7.29,17.28
1/12/66,8.23,10.68
1/01/67,5.02,11.08
1/02/67,5.21,7.57
1/03/67,6.97,16.45
1/04/67,21.85,6.44
1/05/67,16.14,10.72
1/06/67,14.57,2.68
1/07/67,6.35,7.99
1/08/67,7.41,12.14
1/09/67,5.34,8.48
1/10/67,4.60,9.63
1/11/67,5.81,16.40
1/12/67,17.28,4.46
1/01/68,7.93,6.19
1/02/68,2.96,12.93
1/03/68,5.51,9.12
1/04/68,11.78,4.65
1/05/68,10.77,4.92
1/06/68,9.44,10.65
